Site,Unit_ID,Pasture_Type,Treatment,Burn_Year,Year,Month,Time,Date,Bird_Spp,Common_Name,Num_Birds,Distance,Temp,Times_Surveyed,Comments
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,5,10:32:51 AM,5/3/2021,RWBL,Red-winged Blackbird,1,63,69,4,limpkin outside 100m
ABS-UF,Winter_6_Block_Sector_3,SN,BAU,2017,2021,6,10:25:07 AM,6/2/2021,RWBL,Red-winged Blackbird,1,70,67,4,
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,5,10:36:34 AM,5/3/2021,RWBL,Red-winged Blackbird,1,47,69,4,limpkin outside 100m
ABS-UF,Winter_3_Block_Sector_2,SN,ASP,2019,2021,7,11:52:43 AM,7/2/2021,RWBL,Red-winged Blackbird,2,33,75,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,5,10:51:39 AM,5/3/2021,RWBL,Red-winged Blackbird,1,79,70,4,
ABS-UF,Winter_6_Block_Sector_3,SN,BAU,2017,2021,4,12:49:25 PM,4/5/2021,RWBL,Red-winged Blackbird,1,84,60,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,4,11:59:52 AM,4/13/2021,RWBL,Red-winged Blackbird,1,37,57,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,4,11:48:36 AM,4/13/2021,RWBL,Red-winged Blackbird,3,43,55,4,
ABS-UF,Winter_6_Block_Sector_2,SN,BAU,2017,2021,6,10:40:45 AM,6/2/2021,RWBL,Red-winged Blackbird,1,86,67,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,7,11:59:39 AM,7/1/2021,RWBL,Red-winged Blackbird,2,41,75,4,
ABS-UF,Winter_3_Block_Sector_2,SN,ASP,2019,2021,5,10:46:47 AM,5/7/2021,RWBL,Red-winged Blackbird,1,68,69,4,
ABS-UF,Winter_6_Block_Sector_2,SN,BAU,2017,2021,6,10:42:44 AM,6/2/2021,RWBL,Red-winged Blackbird,1,44,67,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,6,1:05:44 PM,6/1/2021,RWBL,Red-winged Blackbird,1,76,69,4,
ABS-UF,Winter_6_Block_Sector_2,SN,BAU,2017,2021,7,10:43:58 AM,7/2/2021,RWBL,Red-winged Blackbird,1,97,73,4,
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,6,12:26:47 PM,6/1/2021,RWBL,Red-winged Blackbird,1,30,67,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,4,12:01:28 PM,4/13/2021,RWBL,Red-winged Blackbird,1,37,57,4,
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,4,12:16:11 PM,4/13/2021,RWBL,Red-winged Blackbird,1,30,59,4,
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,7,11:27:48 AM,7/1/2021,RWBL,Red-winged Blackbird,1,83,74,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,5,10:49:43 AM,5/3/2021,RWBL,Red-winged Blackbird,1,43,70,4,
ABS-UF,Winter_6_Block_Sector_3,SN,BAU,2017,2021,7,10:27:57 AM,7/2/2021,RWBL,Red-winged Blackbird,1,74,73,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,7,11:43:56 AM,7/1/2021,RWBL,Red-winged Blackbird,1,46,75,4,
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,4,12:13:04 PM,4/13/2021,RWBL,Red-winged Blackbird,3,64,59,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,6,12:44:46 PM,6/1/2021,RWBL,Red-winged Blackbird,1,46,68,4,"very tall veg, hard to see"
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,4,12:04:17 PM,4/13/2021,RWBL,Red-winged Blackbird,1,15,57,4,
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,7,11:23:47 AM,7/1/2021,RWBL,Red-winged Blackbird,1,40,74,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,5,10:48:00 AM,5/3/2021,RWBL,Red-winged Blackbird,1,81,70,4,
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,2017,2021,4,12:02:44 PM,4/13/2021,RWBL,Red-winged Blackbird,1,17,57,4,
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,2018,2021,6,1:10:45 PM,6/8/2021,RWBL,Red-winged Blackbird,1,62,75,4,
