YearSampled,Pasture,Plot,Transect,Distance,Forage,C4PG,ANHP,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
2013,17S,1,4,20,839.05,571.57,854.66,15.61,87.19,238.96,28.52,10.23,484.38,0,0,0,9,AGM,Loamy,128.7,525807,4519970
2013,17S,2,1,10,303.01,244.88,335.3,32.29,244.88,38.75,19.38,43.06,0,0,0,0,9,AGM,Loamy,128.7,525814,4520220
2013,17S,2,1,20,330.99,330.99,339.6,8.61,292.78,0,0,7.53,38.21,0,0,0,9,AGM,Loamy,128.7,525814,4520220
2013,17S,2,4,10,1031.72,847.65,1031.72,0,678.66,18.84,165.23,903.09,168.99,0,0,0,9,AGM,Loamy,128.7,525814,4520220
2013,17S,2,4,20,623.23,417.64,623.23,0,417.64,171.15,34.44,195.9,0,94.72,0,0,9,AGM,Loamy,128.7,525814,4520220
2013,17S,3,1,10,674.36,255.64,678.13,3.77,255.64,418.72,0,800.84,0,1311.58,0,0,9,AGM,Salt Flats,128.7,526260,4519920
2013,17S,3,1,20,799.75,419.79,799.75,0,327.22,207.74,172.22,159.31,92.57,0,0,0,9,AGM,Salt Flats,128.7,526260,4519920
2013,17S,3,4,10,2626.39,219.58,2626.39,0,219.58,2355.14,51.67,1819.1,0,0,0,0,9,AGM,Salt Flats,128.7,526260,4519920
2013,17S,3,4,20,2662.45,2076.36,2662.45,0,481.69,491.91,94.18,629.69,1594.67,0,0,0,9,AGM,Salt Flats,128.7,526260,4519920
2013,17S,4,1,10,1033.34,101.18,1033.34,0,93.65,932.16,0,1078.01,7.53,68.89,0,0,9,AGM,Salt Flats,128.7,526341,4520200
2013,17S,4,1,20,691.59,571.03,691.59,0,571.03,96.88,23.68,221.2,0,75.89,0,0,9,AGM,Salt Flats,128.7,526341,4520200
2013,17S,4,4,10,2118.87,1612.97,2118.87,0,369.2,505.9,0,1041.41,1243.77,0,0,0,9,AGM,Salt Flats,128.7,526341,4520200
2013,17S,4,4,20,927.86,661.45,927.86,0,418.72,266.41,0,1318.58,242.73,0,0,0,9,AGM,Salt Flats,128.7,526341,4520200
2013,17S,5,1,10,688.89,323.99,688.89,0,267.48,364.9,0,76.42,56.51,0,0,0,9,AGM,Sandy,128.7,526544,4520040
2013,17S,5,1,20,540.88,366.51,540.88,0,366.51,118.94,55.43,189.44,0,0,0,0,9,AGM,Sandy,128.7,526544,4520040
2013,17S,5,4,10,700.73,638.84,700.73,0,614.08,61.89,0,340.68,24.76,0,0,0,9,AGM,Sandy,128.7,526544,4520040
2013,17S,5,4,20,913.86,825.06,913.86,0,489.76,48.44,40.36,148,335.3,0,0,0,9,AGM,Sandy,128.7,526544,4520040
2013,17S,6,1,10,1260.99,22.07,1260.99,0,22.07,1203.94,34.98,2535.98,0,0,0,0,9,AGM,Sandy,128.7,526947,4520140
2013,17S,6,1,20,1145.28,23.14,1145.28,0,23.14,1121.6,0.54,995.12,0,0,0,0,9,AGM,Sandy,128.7,526947,4520140
2013,17S,6,4,10,660.38,638.31,666.3,5.92,508.6,0,22.07,99.57,129.71,0,0,0,9,AGM,Sandy,128.7,526947,4520140
2013,17S,6,4,20,1365.41,499.99,1365.41,0,474.69,865.42,0,378.89,25.3,0,0,0,9,AGM,Sandy,128.7,526947,4520140
2013,18S,1,1,10,1532.24,449.39,1532.24,0,359.51,28.52,1054.33,618.39,89.88,0,0,0,6,AGM,Sandy,131.95,524290,4519770
2013,18S,1,1,20,660.9,378.35,660.9,0,355.21,0,282.55,177.07,23.14,0,0,0,6,AGM,Sandy,131.95,524290,4519770
2013,18S,1,4,10,615.7,160.92,615.7,0,149.62,435.94,18.84,51.13,11.3,0,0,0,6,AGM,Sandy,131.95,524290,4519770
2013,18S,1,4,20,572.1,163.07,572.1,0,163.07,409.03,0,114.64,0,0,0,0,6,AGM,Sandy,131.95,524290,4519770
2013,18S,2,1,10,1009.66,60.82,1009.66,0,60.82,948.84,0,117.33,0,0,0,0,6,AGM,Sandy,131.95,524267,4520060
2013,18S,2,1,20,734.9,108.17,734.9,0,91.49,626.46,0.27,101.72,16.68,0,0,0,6,AGM,Sandy,131.95,524267,4520060
2013,18S,2,4,10,625.92,485.45,625.92,0,485.45,140.47,0,70.5,0,73.73,0,0,6,AGM,Sandy,131.95,524267,4520060
2013,18S,2,4,20,649.06,562.41,649.06,0,562.41,11.84,74.81,31.75,0,0,0,0,6,AGM,Sandy,131.95,524267,4520060
2013,18S,3,1,10,669.52,594.17,669.52,0,594.17,48.98,26.37,37.14,0,0,0,0,6,AGM,Sandy,131.95,524564,4520040
2013,18S,3,1,20,349.83,266.41,349.83,0,266.41,83.42,0,24.76,0,0,0,0,6,AGM,Sandy,131.95,524564,4520040
2013,18S,3,4,10,491.91,122.17,491.91,0,122.17,357.9,11.84,236.81,0,0,0,0,6,AGM,Sandy,131.95,524564,4520040
2013,18S,3,4,20,570.49,544.66,570.49,0,477.92,0,25.83,52.2,66.74,33.91,0,0,6,AGM,Sandy,131.95,524564,4520040
2013,18S,4,1,10,481.14,438.09,481.14,0,438.09,34.98,8.07,59.74,0,0,0,0,6,AGM,Sandy,131.95,524652,4519770
2013,18S,4,1,20,610.31,485.99,610.31,0,485.99,64.58,59.74,228.73,0,245.96,0,0,6,AGM,Sandy,131.95,524652,4519770
2013,18S,4,4,10,593.09,481.15,593.09,0,214.74,0,111.94,56.51,266.41,0,0,0,6,AGM,Sandy,131.95,524652,4519770
2013,18S,4,4,20,516.13,451.01,516.13,0,182.45,65.12,0,797.61,268.56,0,0,0,6,AGM,Sandy,131.95,524652,4519770
2013,19N,1,1,10,1490.26,391.81,1490.26,0,391.81,568.33,530.12,207.21,0,0,0,0,6,TGM,Sandy,129.18,524215,4519380
2013,19N,1,1,20,1012.35,256.18,1012.35,0,69.43,120.02,636.15,56.51,186.75,0,0,0,6,TGM,Sandy,129.18,524215,4519380
2013,19N,1,4,10,666.82,210.97,666.82,0,99.03,434.32,21.53,15.07,111.94,0,0,0,6,TGM,Sandy,129.18,524215,4519380
2013,19N,1,4,20,1091.46,252.95,1091.46,0,199.13,816.44,22.07,132.4,53.82,0,0,0,6,TGM,Sandy,129.18,524215,4519380
2013,19N,2,1,10,776.62,328.84,776.62,0,297.62,437.55,10.23,174.38,31.22,211.51,0,0,6,TGM,Sandy,129.18,524279,4519140
2013,19N,2,1,20,472,393.42,472,0,393.42,18.84,59.74,95.8,0,0,0,0,6,TGM,Sandy,129.18,524279,4519140
2013,19N,2,4,10,995.66,128.09,995.66,0,128.09,864.34,3.23,265.33,0,0,0,0,6,TGM,Sandy,129.18,524279,4519140
2013,19N,2,4,20,397.72,380.5,397.72,0,255.64,11.3,5.92,248.65,124.86,0,0,0,6,TGM,Sandy,129.18,524279,4519140
2013,19N,3,1,10,924.63,544.66,924.63,0,36.06,379.97,0,453.16,508.6,0,0,0,6,TGM,Sandy,129.18,524632,4519370
2013,19N,3,1,20,580.7,225.5,580.7,0,134.01,347.67,7.53,369.2,91.49,0,0,0,6,TGM,Sandy,129.18,524632,4519370
2013,19N,3,4,10,456.94,332.07,456.94,0,332.07,114.64,10.23,4.84,0,0,0,0,6,TGM,Sandy,129.18,524632,4519370
2013,19N,3,4,20,317.54,260.49,317.54,0,260.49,0,57.05,5.38,0,0,0,0,6,TGM,Sandy,129.18,524632,4519370
2013,19N,4,1,10,551.11,509.13,551.11,0,426.25,0,41.98,171.68,82.88,0,0,0,6,TGM,Sandy,129.18,524671,4518980
2013,19N,4,1,20,656.6,307.85,656.6,0,307.85,348.75,0,92.03,0,93.65,0,0,6,TGM,Sandy,129.18,524671,4518980
2013,19N,4,4,10,377.28,332.07,377.28,0,332.07,41.44,3.77,9.69,0,0,0,0,6,TGM,Sandy,129.18,524671,4518980
